Survey Name,positive,negative,neutral,total,positive_pct,negative_pct,net_sentiment
Create Custom Objects,2,0,1,3,66.7,0.0,66.7
Academy CSAT,1938,235,828,3001,64.6,7.8,56.8
Trial,36,8,9,53,67.9,15.1,52.8
Workflows,1348,305,484,2137,63.1,14.3,48.8
Payment Links Index,38,9,18,65,58.5,13.8,44.7
Helpdesk Ticket Defaults,10,3,3,16,62.5,18.8,43.7
Social,1403,414,619,2436,57.6,17.0,40.6
Sales Execution - Deal Pipeline,202,50,128,380,53.2,13.2,40.0
Quotes,167,51,72,290,57.6,17.6,40.0
Data Quality,121,40,47,208,58.2,19.2,39.0
Deal Pipeline (Deal Board),319,92,183,594,53.7,15.5,38.2
Sales Outreach (Sequences),165,52,88,305,54.1,17.0,37.1
Import Export,673,240,316,1229,54.8,19.5,35.3
CRM Settings,542,197,246,985,55.0,20.0,35.0
CRM Records,732,252,408,1392,52.6,18.1,34.5
Payments Index,74,27,37,138,53.6,19.6,34.0
Sales Efficiency (Tasks),116,41,65,222,52.3,18.5,33.8
Sales Prospecting - Task,483,172,285,940,51.4,18.3,33.1
Chat,49,16,35,100,49.0,16.0,33.0
CRM Index,489,164,337,990,49.4,16.6,32.8
Marketing Email,866,363,446,1675,51.7,21.7,30.0
Campaigns,726,322,376,1424,51.0,22.6,28.4
Sales Execution - Deal Index,358,149,237,744,48.1,20.0,28.1
Chatflows - Live Chat Bot Creation,29,14,11,54,53.7,25.9,27.8
Admin Governance,349,151,221,721,48.4,20.9,27.5
Report Library,71,31,48,150,47.3,20.7,26.6
Report Builder (Original),109,54,54,217,50.2,24.9,25.3
Content Tools,1675,859,817,3351,50.0,25.6,24.4
Deal Pipeline (Forecasting),431,201,309,941,45.8,21.4,24.4
Admin Setup,412,207,241,860,47.9,24.1,23.8
Reporting (Report Dashboard View),439,208,330,977,44.9,21.3,23.6
Forms,591,289,410,1290,45.8,22.4,23.4
File Manager View,506,274,235,1015,49.9,27.0,22.9
Workflows Visit,1002,516,621,2139,46.8,24.1,22.7
Invoices Index,343,184,180,707,48.5,26.0,22.5
UI Extension Cards,18,9,13,40,45.0,22.5,22.5
Reporting (Sales Analytics),427,214,351,992,43.0,21.6,21.4
Conversations Inbox,1655,922,882,3459,47.8,26.7,21.1
Subscriptions Index,56,33,24,113,49.6,29.2,20.4
Products Index,458,266,269,993,46.1,26.8,19.3
CRM Lists,589,315,550,1454,40.5,21.7,18.8
Sales Execution - Forecast,151,86,112,349,43.3,24.6,18.7
Ads,527,306,416,1249,42.2,24.5,17.7
Data Sync,757,456,564,1777,42.6,25.7,16.9
Prospecting Workspace,332,212,255,799,41.6,26.5,15.1
CTAs,69,46,51,166,41.6,27.7,13.9
Sales Prospecting - Sequence,236,156,182,574,41.1,27.2,13.9
Knowledgebase Article Insights,123,87,57,267,46.1,32.6,13.5
Reporting (Custom Journey Analytics),76,53,46,175,43.4,30.3,13.1
Other Survey,1229,843,954,3026,40.6,27.9,12.7
Helpdesk Ticket Closed,1357,971,732,3060,44.3,31.7,12.6
Brand Settings,326,222,298,846,38.5,26.2,12.3
Reporting (Multi-touch Attribution),54,39,32,125,43.2,31.2,12.0
IAH Experience,67,47,61,175,38.3,26.9,11.4
Sales Prospecting - Meeting,129,90,127,346,37.3,26.0,11.3
App Marketplace,152,103,182,437,34.8,23.6,11.2
Report Builder (Advanced),1644,1227,1082,3953,41.6,31.0,10.6
Report Lists,688,517,514,1719,40.0,30.1,9.9
Design Manager,1412,1153,922,3487,40.5,33.1,7.4
Datasets,41,35,38,114,36.0,30.7,5.3
Reporting (Single Object Builder),275,242,183,700,39.3,34.6,4.7
SEO Recs,53,47,52,152,34.9,30.9,4.0
Connected Apps,178,165,231,574,31.0,28.7,2.3
Chatflows - Messenger Bot Creation,0,0,1,1,0.0,0.0,0.0
Account & Billing,1354,1679,1427,4460,30.4,37.6,-7.2
Developer View,31,38,27,96,32.3,39.6,-7.3
Developer User,8,11,9,28,28.6,39.3,-10.7
View Custom Objects,16,26,13,55,29.1,47.3,-18.2
