Response ID,Date,Score,Taxonomy Type,Response Text,Translated Text,Page URL,vader_negative,vader_neutral,vader_positive,vader_compound,sentiment_label
175242837,"Feb 04, 2026",7,,Seems to be an excessive amount of repeating steps to do simple tasks,,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175220830,"Feb 04, 2026",0,,price,,Dashboard Page,,,,,unscored
175230286,"Feb 04, 2026",10,,it's handy,,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175219745,"Feb 04, 2026",6,,æŽ¥ç¶šé€Ÿåº¦ãŒé…ã„,,Dashboard Page,,,,,unscored
175222744,"Feb 04, 2026",6,,"Still find it hard to get it to do what I want it to do. When will it ask me: ""What do you want to see?"" Then explain and ""it"" then configures it accordingly",,Globalhome Page,0.04,0.886,0.074,0.0516,positive
175256420,"Feb 04, 2026",10,,Es sencillo de entender,,Dashboard Page,,,,,unscored
175230189,"Feb 04, 2026",10,,I like the UX; it's easy to use and learn. Is not overwhelming.,,Dashboard Page,0.0,0.671,0.329,0.6597,positive
175249323,"Feb 04, 2026",3,,AI is bad,,Dashboard Page,,,,,unscored
175258017,"Feb 04, 2026",9,,"Bastante amplio, prÃ¡ctico, Ãºtil y sobre todo eficiente este CRM, y puede llegar hasta donde el lÃ­mite de uno lo de",,Dashboard Page,,,,,unscored
175238806,"Feb 04, 2026",7,,Easier to navigate,,Dashboard Page,0.0,0.417,0.583,0.4215,positive
175229342,"Feb 04, 2026",10,,great resource,,Dashboard Page,0.0,0.196,0.804,0.6249,positive
175239984,"Feb 04, 2026",10,,Una herramienta muy Ãºtil .,,Dashboard Page,,,,,unscored
175248066,"Feb 04, 2026",0,,reporting is terrible,,Dashboard Page,0.608,0.392,0.0,-0.4767,negative
175249666,"Feb 04, 2026",0,,"slow, laggy, lacks functionality",,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175227535,"Feb 04, 2026",10,,love it,,Dashboard Page,,,,,unscored
175222990,"Feb 04, 2026",3,,bro the leadpages are so shitty,,Globalhome Page,0.48,0.52,0.0,-0.6825,negative
175246949,"Feb 04, 2026",6,,No termino de encontrar el valor a la herramienta. Siento que hace falta capacitaciÃ³n.,,Dashboard Page,,,,,unscored
175259115,"Feb 04, 2026",5,,need better visibility for site addresses/ clients and who is tendering for the site/s,,Dashboard Page,0.0,0.727,0.273,0.5423,positive
175233059,"Feb 04, 2026",10,,No comment,,Dashboard Page,,,,,unscored
